Date,Rate,Source,Daily_Return,Log_Return,SMA_Short,SMA_Long,Rolling_Volatility_Annualized,Signal,Position_Change,Strategy_Position,Strategy_Daily_Return,Trade_Executed,Strategy_Equity,BuyHold_Equity
2021-06-20,10581.03,CBU.uz (official),0.0,0.0,10571.102499999999,10560.691200000001,0.01833509094075989,1,False,1.0,0.0,False,9998.385072414538,10056.598501351518
2021-06-21,10567.6,CBU.uz (official),-0.0012692526152936479,-0.00127005879863344,10571.072,10561.861,0.018417614371295566,1,False,1.0,-0.0012692526152936479,False,9985.694596012661,10043.83413740272
2021-06-22,10586.85,CBU.uz (official),0.0018216056625912636,0.0018199485510935426,10572.4235,10563.138,0.01924783164324919,1,False,1.0,0.0018216056625912636,False,10003.884593833665,10062.130042541541
2021-06-23,10581.36,CBU.uz (official),-0.0005185678459598275,-0.0005187023487664897,10573.9545,10564.315200000001,0.019052519332788582,1,False,1.0,-0.0005185678459598275,False,9998.696900948611,10056.912145439614
2021-06-24,10571.88,CBU.uz (official),-0.0008959150808592886,-0.0008963166526427377,10575.5885,10565.474000000002,0.0188941095295601,1,False,1.0,-0.0008959150808592886,False,9989.73891760611,10047.902006181637
2021-06-25,10564.96,CBU.uz (official),-0.0006545666428298125,-0.0006547809651053435,10576.8765,10566.7488,0.019107215049072476,1,False,1.0,-0.0006545666428298125,False,9983.199967740065,10041.324984697969
2021-06-26,10564.96,CBU.uz (official),0.0,0.0,10578.1645,10568.1784,0.019107215049072476,1,False,1.0,0.0,False,9983.199967740065,10041.324984697969
2021-06-27,10564.96,CBU.uz (official),0.0,0.0,10579.0345,10569.608,0.018944815627548538,1,False,1.0,0.0,False,9983.199967740065,10041.324984697969
2021-06-28,10576.0,CBU.uz (official),0.001044963729157633,0.0010444181346112673,10581.228500000001,10571.258399999999,0.01831021292305864,1,False,1.0,0.001044963729157633,False,9993.632049607282,10051.817805099661
2021-06-29,10586.83,CBU.uz (official),0.0010240166414523522,0.001023492694068087,10582.822,10572.7582,0.01709561126508759,1,False,1.0,0.0010240166414523522,False,10003.865695134631,10062.11103380893
2021-06-30,10605.3,CBU.uz (official),0.001744620438790312,0.0017431003562738089,10584.517,10574.2696,0.017311228283035267,1,False,1.0,0.001744620438790312,False,10021.318643693276,10079.665598375888
2021-07-01,10591.0,CBU.uz (official),-0.001348382412567184,-0.0013492922981402184,10584.666500000001,10575.2364,0.017258021455246176,1,False,1.0,-0.001348382412567184,False,10007.806073883386,10066.074354558481
2021-07-02,10587.59,CBU.uz (official),-0.00032197148522328245,-0.0003220233291704113,10584.6455,10576.135,0.017299446917280987,1,False,1.0,-0.00032197148522328245,False,10004.583845697953,10062.833365648175
2021-07-03,10587.59,CBU.uz (official),0.0,0.0,10584.6245,10577.033599999999,0.017299446917280987,1,False,1.0,0.0,False,10004.583845697953,10062.833365648175
2021-07-04,10587.59,CBU.uz (official),0.0,0.0,10584.152,10577.9322,0.017003216512958497,1,False,1.0,0.0,False,10004.583845697953,10062.833365648175
2021-07-05,10613.54,CBU.uz (official),0.0024509827071128587,0.002447983947936,10584.379,10579.3498,0.01876904375467634,1,False,1.0,0.0024509827071128587,False,10029.104907695619,10087.497196211938
2021-07-06,10593.6,CBU.uz (official),-0.0018787322608668777,-0.001880499291853148,10583.258,10580.205,0.019760827190480005,1,False,1.0,-0.0018787322608668777,False,10010.262904757912,10068.54548979801
2021-07-07,10602.56,CBU.uz (official),0.0008457936867540816,0.0008454362048302404,10583.863000000001,10580.934000000001,0.018031413633427473,1,False,1.0,0.0008457936867540816,False,10018.729521925505,10077.06140200808
2021-07-08,10625.04,CBU.uz (official),0.0021202426583770695,0.002117998116001598,10586.0635,10581.8948,0.019068824038743964,1,False,1.0,0.0021202426583770695,False,10039.971659640632,10098.4272174637
2021-07-09,10630.75,CBU.uz (official),0.0005374097415162815,0.0005372653886165974,10588.5495,10582.7898,0.019086394489113416,1,False,1.0,0.0005374097415162815,False,10045.36723821507,10103.854210624359
